"day","dca.group","daily.pm10.uw","daily.pm10.dw","ws.avg.mps","pm10.delta"
1,"south (T2 & T3)",0.524222786805554,0.305833333333333,0.75121715981312,-0.218389453472221
2,"central (T12)",0.173646424180328,0.415181266666667,0.37235075981312,0.241534842486339
2,"north (T29)",1.65149165763889,0.425073580555554,1.16085825118208,-1.22641807708333
3,"central (T12)",0.577184681273541,12.1184310169492,3.73445909106688,11.5412463356756
3,"north (T29)",0.756326638582863,0.996644498293317,3.15402996547584,0.240317859710454
3,"south (T2 & T3)",1.34958333333333,1.18184000613596,0.7722221174272,-0.167743327197371
4,"north (T29)",0.101995444444445,0.0877681318306008,1.39083960283136,-0.0142273126138437
4,"south (T2 & T3)",0.997306967213117,0.480833333333333,0.7293260187136,-0.516473633879784
5,"north (T29)",1.85627655022363,1.0021556413371,0.958255631872,-0.854120908886531
5,"south (T2 & T3)",1.36858431532486,0.760916666666667,0.88644017938432,-0.607667648658193
6,"north (T29)",0.362938864218456,0.594255102777777,1.07324630769664,0.231316238559322
6,"south (T2 & T3)",0.244625,0.217766958333333,0.84932467265536,-0.0268580416666667
7,"north (T29)",2.31731230249529,0.724296765972221,0.978333368920747,-1.59301553652307
8,"north (T29)",0.508635471527779,1.02663100409836,0.9856343642112,0.517995532570579
9,"south (T2 & T3)",0.31031017019774,0.330416666666667,0.76240303045632,0.0201064964689266
11,"central (T12)",0.372082708333333,0.3737986875,3.47162326061056,0.00171597916666671
11,"north (T29)",2.24493569712806,15.0404633409722,4.07395537207296,12.7955276438442
12,"central (T12)",0.724588111805555,1.21711619722222,3.11022399373312,0.492528085416667
12,"north (T29)",1.54967600347222,3.23353875416667,3.3161120609239,1.68386275069444
12,"south (T2 & T3)",0.0620833333333333,0.14193049375,2.16625121118208,0.0798471604166667
13,"south (T2 & T3)",0.125326852777778,0.106041666666667,0.79681129155584,-0.0192851861111113
14,"north (T29)",2.5862472625,0.384689856394716,3.353894711552,-2.20155740610528
15,"north (T29)",16.8817069194444,47.2901238066714,4.88582604837137,30.408416887227
15,"south (T2 & T3)",0.480333333333333,0.677243076388889,3.77032841717077,0.196909743055555
16,"north (T29)",0.188761041666667,0.0985555134180792,4.53391807537152,-0.0902055282485875
19,"north (T29)",2.41399143385701,2.66044258918488,2.19577433360384,0.246451155327871
21,"north (T29)",0.365841169444445,0.459722586499529,0.81041047724032,0.0938814170550845
21,"south (T2 & T3)",0.1760187625,0.235243291666667,0.62169422926336,0.0592245291666667
22,"north (T29)",1.24441304583333,1.44376486597222,2.0260261931008,0.199351820138889
23,"north (T29)",0.819376932718579,0.738761632638889,1.67557841915904,-0.0806153000796905
23,"south (T2 & T3)",0.649903879861113,0.592291666666667,0.85963521752064,-0.0576122131944459
25,"north (T29)",1.3121313875,1.46065175035311,2.97880607850496,0.148520362853111
26,"north (T29)",1.754062375,8.54785883427822,4.19807229201067,6.79379645927822
26,"south (T2 & T3)",0.794666666666667,1.26702235416667,5.20084406217728,0.4723556875
28,"central (T12)",1.13705968055556,0.725871603931262,2.83278617269589,-0.411188076624294
28,"north (T29)",1.20857941666667,1.1340818005123,3.8056437951488,-0.0744976161543738
28,"south (T2 & T3)",0.455208333333333,0.584738077777778,2.42255875081557,0.129529744444444
29,"central (T12)",0.644146833333333,0.595156776297814,3.40226380535125,-0.0489900570355192
29,"north (T29)",1.28003440972222,1.14257559918129,2.73787323392,-0.13745881054093
29,"south (T2 & T3)",0.629271868055556,0.547564989583333,1.61427672280747,-0.0817068784722226
30,"central (T12)",0.197246024305555,0.256342358757062,0.81041047724032,0.0590963344515067
30,"north (T29)",1.33750340501413,1.08588002179849,0.88707092779008,-0.251623383215632
30,"south (T2 & T3)",0.139666666666667,0.338710247222222,0.70875033394176,0.199043580555555
31,"north (T29)",0.920117730814501,0.851139883310565,0.89802242072576,-0.0689778475039362
31,"south (T2 & T3)",0.504616493055555,0.341333333333333,0.88745259981312,-0.163283159722222
